trace_name,scenario,samples,duration_s,mean_mbps,std_mbps,min_mbps,max_mbps,p10_mbps,median_mbps,p90_mbps,outage_ratio,variation_ratio
broadband_bursty_01,broadband,320,320.0,4.3234171867370605,1.4009318351745605,1.0565073490142822,7.705382347106934,2.001293897628784,4.6490936279296875,5.835047721862793,0.0,0.3240334611871824
broadband_bursty_02,broadband,320,320.0,5.6321282386779785,1.5945473909378052,1.3179044723510742,8.590877532958984,2.794132709503174,6.063816070556641,7.180350303649902,0.0,0.2831163147151797
broadband_bursty_03,broadband,320,320.0,4.812114238739014,1.547131061553955,0.5314163565635681,7.830768585205078,2.2777297496795654,5.324469566345215,6.427696704864502,0.0,0.3215075504856202
broadband_bursty_04,broadband,320,320.0,4.340147495269775,1.522354006767273,0.6244440674781799,7.9667649269104,1.9892867803573608,4.546925067901611,6.256958961486816,0.0,0.35076089198038796
broadband_bursty_05,broadband,320,320.0,4.1358137130737305,1.2229124307632446,1.067583441734314,6.78436279296875,2.178392171859741,4.393472194671631,5.45781135559082,0.0,0.2956884704205833
broadband_bursty_06,broadband,320,320.0,5.096195697784424,1.547739863395691,0.6443427205085754,8.497775077819824,2.7484147548675537,5.436643600463867,6.764002323150635,0.0,0.3037049507475885
broadband_bursty_07,broadband,320,320.0,5.260632514953613,1.7257095575332642,0.8151613473892212,9.205636978149414,2.634122848510742,5.581814765930176,7.240915775299072,0.0,0.328042217856474
broadband_bursty_08,broadband,320,320.0,5.236921310424805,1.507066011428833,0.7798982262611389,8.802892684936523,2.991250991821289,5.465978145599365,6.985633373260498,0.0,0.2877770969040174
broadband_bursty_09,broadband,320,320.0,4.739162445068359,1.5912011861801147,0.4608689844608307,7.979641914367676,2.1479761600494385,5.12935209274292,6.453372478485107,0.003125,0.3357557806097028
broadband_stable_01,broadband,320,320.0,5.6654815673828125,0.3406764268875122,4.357100963592529,6.44570779800415,5.245582103729248,5.659172058105469,6.103641510009766,0.0,0.06013194515517395
broadband_stable_02,broadband,320,320.0,5.454566955566406,0.4200343191623688,4.179189205169678,6.557337760925293,4.875946998596191,5.474156379699707,6.006198883056641,0.0,0.0770059883000835
